,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Metoclopramide,8.011151,-58.92859,1.3242942,9.47382,2.914259,-1.7951546,-7.5551133,3.534184,-7.212311,15.10356,29.340366,8.649835,105.16842,21.851467,-18.191128,-25.351696,17.958416,-3.9963453,-0.02346001,-21.931002,6.6898046,0.4820387,0.9222279,-3.868922,-6.468486,20.270613,5.7013526,-42.915287,-61.65209,-21.323704,-8.120522,-8.291717,-27.79906,-16.998163,-12.003764,19.124418,5.911518,25.810528,6.8773947,-0.19553916,3.3629892,-40.01852,1.3674217,32.732674,-11.296657,-2.3085513,7.890753,-3.7851207,-2.642819,14.537006,-21.387703,-5.914529,-47.347427,5.225614,1.3990993,3.3892095,-34.20153,4.2346478,-3.6608887,25.060118,26.11064,-3.006588,7.2876687,9.078423,8.367742,3.722698,2.5942168,-52.99811,9.884878,6.8939185,4.765545,6.0909204,-0.5384309,12.221528,0.84487826,1.2606655,13.941963,-11.480967,10.25145,8.698425,6.7929573,52.086586,-4.827212,1.1503642,71.67259,-11.387933,33.106956,-10.528635,19.19125,-0.5403099,-6.75086,8.821364,-1.6088613,-53.83088,22.240265,30.519173,-7.3695297,-0.54917246,35.06362,28.801487,4.0726404,-12.679788,0.55388576,-51.97653,-42.51123,59.534256,-5.300059,-28.914732,-12.6322975,3.1760027,8.518556,-42.95452,3.8469703,0.91184396,-2.06094,10.504558,0.38680872,46.743935,-13.515073,12.709029,-3.8494503,-29.741291,1.4864141,-4.804331,5.262446,-1.1230495,41.847424,3.6068685,-25.24182,-21.09556,110.76582,-46.77374,24.477068,2.7548068,43.357597,14.013354,9.091662,-55.764446,-6.021975,-2.62851,-2.6306517,-0.03222984,-10.754481,-77.36476,-0.41306877,34.955685,-3.1948538,65.45322,-12.886277,-7.3656106,8.268069,53.088287,3.2016747,44.789196,-8.717479,-19.164824,-35.2188,23.520676,0.68992984,2.3974948,-31.708214,-3.0338624,-34.04332,21.758512,7.1357293,11.593731,5.212358,-8.04257,36.494694,-7.187091,69.34498,8.092471,-9.080039,-2.0186944,3.7655828,-1.5632559,18.30458,3.6804497,-15.891345,0.4895278,5.9665647,0.5387329,0.28940237,-2.172609,55.001656,-5.530156,10.517458,-3.9299357,0.5798178,9.391396,-22.201597,16.021233,-5.3744583,3.8494265,-2.5238638,6.3973904,-2.8519447,2.3091981,-7.720275,3.7073822
Indomethacin,-1.0535605,-55.008823,4.3367367,11.636397,4.2717967,-1.9755521,-6.16256,3.8610568,-2.2981238,17.854044,29.800985,10.461479,103.42764,25.818752,-18.830307,-24.079187,16.950506,-3.5814166,-1.8841115,-18.607943,3.1979415,0.8152675,-0.88034415,-4.9824758,-4.702095,23.202377,13.846267,-42.867756,-63.694614,-21.457579,-14.1923,-12.881654,-32.188023,-20.895357,-9.757952,22.267359,10.512153,29.194324,12.878607,0.57719564,3.0253654,-39.158012,-1.9527361,33.831345,-10.557711,-3.25752,8.871225,-9.536065,-3.9244251,15.674119,-23.671867,-4.0129256,-45.671535,6.141093,2.3270485,5.4741206,-32.53014,4.3398848,-8.430859,23.599476,29.136772,0.0056613907,3.4975152,13.120045,5.8995275,0.31602535,3.2806792,-54.37279,12.308881,7.3378696,6.866974,7.8342323,-1.8628967,13.78429,-1.5491613,1.7031821,13.3831,-9.70536,12.07054,7.441882,3.9863887,52.05636,-7.120987,1.4635868,70.44116,-4.968641,35.36023,-10.99727,19.470695,-2.4419131,-4.8554873,9.435604,-5.767366,-54.160057,21.234621,30.086525,-4.2664223,-5.6093435,36.056396,30.708656,6.6848574,-9.437972,-1.7685683,-49.116734,-42.224697,60.021744,-6.361071,-27.258488,-10.449315,3.2348049,6.4460173,-46.332882,3.8336203,4.091216,-2.5326786,9.415759,-2.0575314,45.91483,-18.946346,12.517912,-3.5785108,-30.889378,-2.2697494,-2.9473338,11.507121,-3.8803608,48.194183,3.9764023,-24.42261,-24.712507,109.96038,-40.990833,23.806396,3.478363,44.619152,14.196687,0.7473617,-59.09845,-4.938819,-0.1444338,-11.364968,-2.9377244,-10.254979,-78.35601,-2.937382,33.17007,-5.852371,66.5248,-17.88267,-10.438795,9.833804,54.039307,0.10376366,45.055172,-11.509971,-16.20087,-33.24152,27.768,6.0438395,-3.8220456,-29.356298,-0.16447803,-38.269466,26.370382,1.8350804,10.613573,8.148723,-10.282193,38.704952,-4.9680824,66.47264,-1.759662,-10.513198,-3.2754815,0.85775626,-9.816184,18.14447,1.6210263,-15.480618,-1.7623543,8.163623,-0.16836554,0.5852821,-4.678864,52.574375,-4.6512685,9.89387,-4.691968,-4.2431855,15.7951765,-18.355894,14.899432,-4.2493477,2.065985,-0.06951735,5.195715,-2.798312,3.9571247,-8.049744,9.3952675
Aspirin,17.112259,-53.473446,8.859351,8.877472,4.9811597,-5.098531,-6.463077,4.0548806,-7.1233997,11.293242,27.633394,9.622324,94.22452,17.442055,-17.989004,-22.50133,19.32975,-4.33354,-0.6503322,-20.21289,9.444827,-5.6824827,-5.9668336,-1.7767091,-12.170893,19.720263,2.4630346,-36.809227,-54.46297,-17.821869,-5.9159565,-7.098963,-24.193455,-6.729952,-14.495491,24.477198,5.451911,26.314697,6.711673,-0.62651485,-1.5312238,-41.855644,-2.3748796,28.073738,-13.478662,-0.71010536,7.0101852,-5.658129,-5.8359094,11.924226,-26.431564,-0.77784777,-45.705135,1.6020595,8.479638,3.6433747,-26.238825,6.6221504,-8.497636,24.863657,21.72914,1.1663187,12.193122,2.4360943,10.84137,3.5121665,-2.318388,-48.556187,13.11015,5.320618,0.45426947,7.8022094,-4.1727834,8.1642885,0.7760762,-9.6282835,16.102884,-12.775292,11.040168,8.10984,7.7757845,46.428326,-3.8283188,5.0203166,63.66941,-10.897505,31.540981,-13.677465,13.185532,-4.724456,-5.023247,6.612356,0.26220968,-44.71228,20.880125,20.276272,-5.5125856,-2.446225,30.314938,20.922215,5.957164,-14.11934,2.568941,-49.164524,-37.453068,52.05504,-3.0011077,-27.643793,-16.860092,1.8048637,16.914652,-42.384453,6.1228905,3.7150466,-0.7023624,10.105625,1.1337187,39.279343,-14.019301,10.251506,-3.7634697,-22.448078,5.505476,-4.419042,4.301672,-1.4541161,36.90064,6.0695386,-18.652338,-22.077597,100.79264,-42.86153,23.797297,4.2600102,32.995125,14.232681,13.689076,-56.11997,-7.3686786,-3.9983215,-0.5234955,-2.6854503,-12.326034,-69.547806,-4.906998,34.884243,-8.089663,61.231197,-12.404117,-7.5735874,14.455913,47.487194,-0.038232647,41.714886,-6.218367,-15.457452,-31.083628,19.532574,2.4500651,0.06946684,-30.452696,-0.04573927,-28.091017,20.245577,3.581025,3.3020327,3.5536375,-6.5647626,32.35295,-7.3709927,63.217384,10.809624,-16.680744,-1.1793357,3.4821959,-5.7080755,12.566871,6.8836427,-17.99058,-0.5089004,9.700582,1.8278742,2.665792,-10.249073,45.27453,-9.923155,7.421846,-6.7783794,7.191843,9.247373,-17.638767,18.431461,-10.169692,1.8458052,-3.2383475,11.590606,-3.1921244,5.6323442,-4.5634375,3.8982556
Ibuprofen,12.73011,-55.631454,9.301767,12.6915045,0.4936826,-1.7517748,-4.9538083,4.029677,-3.6763391,12.85941,34.09478,6.3759246,98.89137,21.971155,-21.420954,-18.188984,18.611135,-6.9654455,-0.70943666,-16.887636,5.685685,-2.7162068,-5.7205887,-0.14168409,-13.478217,23.463705,8.581266,-38.170757,-60.964867,-21.815943,-11.337623,-10.224849,-30.119837,-9.975261,-15.203911,27.234222,7.7912326,30.03512,10.189477,0.72329456,-5.8026323,-45.624603,-7.7125287,30.40435,-12.512308,1.5839826,6.828969,-7.071165,-3.7710438,12.712209,-27.44047,-0.6581725,-42.753395,-1.6379427,10.477261,6.1362963,-24.81602,5.7332745,-10.226232,27.471691,24.442595,2.6647964,7.929572,2.1758797,12.000665,0.9083655,-3.7425814,-49.367054,11.385803,1.0423242,-1.6619611,3.7451315,-1.1715589,9.542887,1.9312224,-9.40543,14.407188,-12.326197,8.137082,10.361074,8.765164,46.678474,-2.0595558,3.096766,63.15439,-5.3583865,34.484867,-12.245237,16.198689,-6.0190287,-1.2601151,10.84871,0.122954816,-52.073414,23.373964,21.704292,-4.7552814,-2.5697405,30.650599,24.92645,10.407904,-9.7771845,0.6029393,-49.36197,-40.05009,53.367588,-0.16921273,-31.87286,-14.578899,-1.7191817,11.941909,-45.137787,8.32107,3.7014437,2.1407597,8.283387,3.41211,46.2129,-20.540678,9.792125,-2.8855474,-26.531197,4.9620953,1.3326516,10.561546,-0.8844392,43.04401,10.854153,-22.85391,-29.471388,108.639145,-40.92913,30.329079,0.42800933,33.75854,9.221802,8.071413,-57.444115,-13.501606,-1.8645905,-2.400093,-0.0033964505,-8.749383,-71.98278,-9.01744,34.108585,-11.579428,63.155396,-10.383165,-6.031917,15.533517,52.824177,0.79283303,40.493507,-9.625052,-16.251621,-29.532206,26.085331,4.8004127,-3.627517,-28.541258,4.6248956,-38.286747,25.35836,1.4544784,7.7748613,8.290355,-9.701143,36.474136,-7.940262,62.556213,4.3903174,-17.107542,5.3314776,1.2781596,-9.345979,13.750482,4.042192,-23.911629,-0.7451341,11.769106,-1.371804,7.2088904,-12.2589445,43.317486,-10.8554125,12.85463,-1.4799979,2.210651,11.1380415,-15.018086,15.7907295,-11.705324,0.5969117,-6.4542236,8.968382,-6.5764256,2.8019202,-7.3179784,9.859485
Benzene,19.258211,-50.516346,14.385322,11.310829,1.09137,-3.7052634,-3.0811365,4.685928,-10.216701,10.833533,32.821926,4.686986,92.98377,18.98917,-23.743269,-13.306861,22.032022,-8.06758,-2.7929423,-17.479326,9.746196,-4.9438305,-10.0542345,-1.9406797,-14.575666,18.025364,3.1585755,-32.692715,-54.157284,-19.409872,-7.9799514,-10.361069,-27.608086,-0.8659044,-12.530406,25.774792,9.290836,34.39421,8.385314,-2.6162238,-13.563478,-44.72682,-10.393062,20.087564,-6.323475,3.8165107,5.288224,-5.027453,-4.98708,11.927446,-33.159966,-0.7888397,-41.972725,-9.206675,18.972939,6.710145,-20.268583,7.593462,-8.793545,28.993101,18.242579,3.032104,12.391324,-4.2250175,12.714668,6.57499,-6.302012,-47.934902,10.457879,1.0562354,-9.953957,1.9033027,0.6065887,6.7128944,2.5606165,-16.08105,17.383413,-13.120264,6.34162,11.903166,6.423927,44.73308,0.89166975,8.500161,56.22129,-9.8564,36.17084,-12.676817,9.967354,-6.9921956,4.318164,8.721952,5.6564684,-47.549564,18.764366,16.186092,-13.269933,1.4651098,24.929632,18.24333,12.447472,-18.020016,5.277306,-49.981926,-34.982464,46.398506,5.8818808,-29.671373,-17.698555,-4.037351,18.498474,-41.463696,14.431302,8.92736,6.9029613,11.133269,4.309514,44.998928,-17.44372,8.042647,-4.153254,-19.282648,11.119681,-0.0610217,7.3004265,2.172505,34.58644,15.169894,-14.687707,-26.69169,101.16849,-39.021843,31.42913,1.2261933,27.090183,9.58807,15.840044,-51.156338,-17.604755,-2.1039903,5.44406,0.3535251,-7.100535,-64.592026,-17.321117,32.596973,-14.724505,59.168144,-8.256743,-8.421079,17.204535,45.72413,1.8486114,37.725025,-10.011327,-15.88812,-30.905962,24.69958,6.880664,-2.7182486,-30.301989,6.527371,-35.9099,22.248413,1.2914933,1.2326016,3.8979845,-11.848598,33.114735,-7.451055,59.729958,12.851121,-23.64401,8.411179,1.5333539,-4.6544657,6.9435425,9.722388,-23.304115,-4.6577487,13.520281,-0.09830289,5.389259,-20.297043,37.0283,-13.234131,13.015645,-2.7031934,6.8616314,6.2149963,-13.326159,15.074926,-14.523434,2.4216456,-11.635301,12.238619,-5.4367037,0.9219592,-2.7807527,9.17071
Phthalic acid,19.517622,-54.75156,6.4565086,9.123068,2.2923677,-3.7315412,-7.303991,3.0736568,-4.0151677,7.7805557,28.232456,8.309153,91.57453,15.560164,-15.030474,-22.383678,15.600311,-4.2758393,1.8005347,-18.605188,7.40315,-5.259143,-3.9300292,2.5345283,-14.994043,20.98845,0.7035103,-34.875385,-54.222702,-16.934364,-6.745846,-4.099679,-21.025948,-5.883829,-17.339844,24.21749,0.71809417,21.629837,3.7044506,1.7134972,0.4646908,-41.230587,-1.4309596,29.617483,-16.820465,0.31947356,6.541564,-3.0860748,-2.8107343,9.581586,-22.060078,0.24482071,-42.129528,3.793205,5.6572714,2.7839396,-23.544716,6.103764,-7.950345,23.004122,20.882385,0.7589102,11.63393,0.6440284,12.696526,1.2488735,-2.6613648,-43.8838,12.097801,2.5409358,1.7705846,6.1787663,-4.3383174,7.125498,1.9850959,-9.586426,12.5938225,-12.319967,9.775073,8.629192,12.103026,41.707375,-2.314568,1.0519345,61.126198,-7.901838,26.880474,-13.169052,14.204244,-5.675644,-7.3390627,8.762728,0.34647903,-42.609314,22.218792,18.703564,0.375199,-2.601282,30.902258,20.807924,5.709114,-8.387808,-0.104748555,-46.668865,-38.442997,50.42071,-3.972227,-30.190178,-16.482767,2.1385841,13.987951,-39.242016,2.935693,-1.1381583,-1.1570417,8.357291,3.3164895,38.659756,-12.921048,8.643621,-2.0752208,-22.76613,5.2267065,-2.2972758,3.9459023,-2.151826,36.829712,6.7983036,-21.757196,-23.130945,99.04305,-43.353317,23.978611,1.3966405,30.239998,10.20354,12.105315,-55.933426,-8.471122,-5.2990503,1.6712685,-0.39257783,-11.716197,-66.52382,-1.6401552,33.874653,-7.3206816,59.046223,-7.751759,-3.4486911,14.432571,47.96433,0.5982129,37.940224,-4.5664196,-14.57404,-25.928339,16.607231,-0.7706568,1.4118212,-26.930492,-0.067275025,-27.141634,20.136606,4.553654,5.7070665,4.1932697,-4.5954556,29.832691,-8.985311,61.062584,10.588902,-13.784588,0.85635036,3.0296414,-5.8065,14.4436,5.1100173,-20.567709,3.6156478,8.597992,0.7070922,7.1738367,-6.8486886,43.058468,-9.123511,8.194532,-5.0299835,6.6177406,7.1687055,-16.344818,17.687542,-10.571552,-0.7611936,-1.3209864,9.849209,-6.100611,6.0685086,-7.070656,2.1147408
Chrysene,3.047841,-49.564293,12.806873,15.31615,-0.7142692,-0.10610001,-2.7151444,3.5525,-2.417644,15.185929,36.575237,3.978534,95.99293,26.089611,-24.846674,-11.642255,18.953402,-8.019089,-3.412205,-12.815979,1.4148142,-0.4136767,-8.145504,-2.2022152,-9.179162,22.806345,14.528635,-35.566223,-61.077347,-22.98067,-17.896095,-16.455112,-35.9498,-11.61874,-9.586093,26.23125,14.546445,37.201496,15.300071,-0.732624,-12.51313,-44.304436,-13.805782,24.105837,-4.8360305,4.6243405,7.132669,-10.091479,-2.2829294,15.307579,-31.225779,-2.0064197,-37.87109,-7.401029,15.905075,9.499797,-20.639778,5.6432605,-12.186462,27.553032,23.614975,4.9129186,2.6763403,3.5035257,9.499551,0.6216607,-3.5160794,-50.200596,9.495999,-1.5211139,-6.440429,1.6786826,2.6928775,10.728993,0.6224364,-8.327638,12.743845,-10.714753,5.6581917,12.310379,5.7857976,46.41592,-1.1968406,5.6807013,56.802917,-0.36633608,39.69587,-10.411613,15.544307,-7.942484,6.0131807,13.395208,0.074650615,-55.55298,19.637281,21.208725,-8.798703,-2.069458,27.986164,26.16028,15.566662,-9.42403,-0.8883037,-46.911114,-38.362637,50.37178,4.7438326,-29.23126,-10.976437,-5.3995695,8.3370905,-44.170456,14.008218,9.375714,7.7142906,8.903458,3.1071262,51.348625,-24.176256,7.8607473,-3.0947092,-24.955711,4.0419188,5.23415,16.29317,-0.6266324,45.03452,15.727922,-19.490345,-32.71179,106.77174,-34.787262,33.91686,-1.2715496,31.876581,6.4117165,1.6263199,-52.676895,-18.09418,1.2609189,-4.598524,1.1515868,-4.018789,-68.54276,-18.519566,29.552263,-15.59298,61.147823,-11.620917,-9.693594,16.87456,50.614742,2.091522,37.935436,-14.634733,-14.632271,-28.225384,32.422504,11.601533,-9.109428,-25.231024,10.021213,-47.51054,29.379414,-2.9253528,7.6686025,9.223477,-15.197221,36.97819,-4.7804646,57.84769,-1.7009655,-18.40456,9.467163,-3.254062,-12.487909,10.286149,4.266346,-23.469046,-5.9603705,13.91437,-3.2701907,7.833953,-17.666632,36.784237,-9.566502,17.174707,2.0792332,-4.0582914,13.250306,-10.089242,9.887412,-10.762828,0.97510123,-9.357272,5.5750027,-6.906997,0.17108078,-6.9675016,16.81448
Cyclohexane,17.998116,-46.24028,13.935711,11.760343,0.4854064,-2.804656,-3.1828358,4.632453,-8.809488,9.75764,31.629461,4.0096784,86.55056,17.740776,-21.315868,-11.226267,20.38064,-7.827882,-3.2036974,-15.402626,7.850442,-4.643303,-9.808126,-0.53895813,-13.096712,17.468939,2.7251055,-29.23882,-50.257904,-18.017696,-9.628011,-11.078917,-27.065025,-0.8641045,-11.493974,24.525627,9.231783,32.445137,7.3539705,-2.3957634,-13.721897,-42.030563,-9.811599,17.296938,-5.198036,5.4277983,6.1803207,-5.408244,-2.5751147,12.061263,-30.447063,-1.4275508,-37.22437,-8.032292,18.88708,6.373843,-18.549698,7.290823,-8.917752,26.11077,16.279446,2.4527411,11.4000025,-4.095359,11.949612,5.8156304,-6.1243925,-45.00226,8.931526,0.34391424,-9.775215,1.6803963,1.8932481,5.5747523,3.230181,-15.082855,14.964347,-12.287407,4.8291173,12.867395,8.60288,41.289024,1.8445158,8.455967,50.98455,-8.346257,34.382515,-12.788866,10.419139,-8.349821,5.014044,9.610237,5.3759203,-44.517536,17.671621,14.785239,-11.156886,2.3170037,23.171667,17.348078,12.877388,-15.314325,2.920877,-45.447792,-32.392017,42.196068,6.3304543,-27.258654,-16.24142,-4.642137,15.845059,-37.266094,14.299174,8.5555935,7.264564,10.280788,4.592882,43.992363,-16.798096,6.637693,-3.8960912,-16.77612,10.886779,0.71905416,8.049336,1.4381146,32.38937,14.829561,-13.335313,-24.957329,93.75445,-35.699562,30.555841,0.41568527,23.711542,6.8004313,13.39027,-46.63368,-17.224169,-2.4840102,6.1724973,0.7568607,-5.970694,-59.31776,-17.261356,30.039703,-14.465241,54.667915,-6.5503917,-7.5695224,17.687698,42.18969,2.077563,34.77846,-10.65232,-14.297615,-27.877197,22.959167,7.051285,-2.4782765,-26.897432,6.4635534,-35.572735,21.915998,1.0619972,1.7264297,3.3804996,-12.036988,30.441912,-6.6309805,55.018265,11.580034,-21.411118,8.555971,-0.76926416,-4.645063,6.7594767,9.278838,-21.42923,-4.872249,13.380164,-0.32154778,6.6341963,-20.50947,33.618637,-11.959349,14.143514,-1.3240335,5.086105,5.7036448,-12.568613,12.342898,-12.880534,2.3544276,-10.823621,10.236246,-5.9544177,0.11580517,-3.6770632,8.94124
Ethanol,21.39513,-45.567608,10.295596,7.938146,0.35183507,-3.6098247,-4.1216655,3.6881735,-10.8394785,6.528919,26.134354,3.6375377,77.99333,12.129623,-17.616833,-13.321367,17.620422,-6.2102447,-0.8705573,-16.832367,9.5464325,-4.8262463,-6.52664,-0.0038020918,-13.733164,13.385883,-2.917804,-26.125374,-43.6343,-15.251627,-3.5002813,-4.9181843,-19.310339,2.080945,-12.043494,19.083391,3.3697283,25.000544,1.8093632,-2.1676004,-8.845993,-36.99409,-4.6986694,16.30416,-6.6544614,3.546493,4.495059,-0.22359073,-2.5589423,9.52612,-24.608124,-1.2216161,-35.53307,-5.4729495,13.943362,3.9270961,-17.74946,6.357232,-4.643531,23.462038,13.667272,0.6321273,13.075914,-5.2357507,12.070709,7.874159,-4.805635,-38.15022,8.411915,1.0903558,-7.977666,1.1312323,0.6886574,4.093987,2.9881914,-13.391856,14.513632,-12.165308,5.062941,10.318574,8.0340185,36.920673,1.6897259,5.3468137,47.66849,-11.451618,27.256973,-10.339632,8.526067,-5.0733285,0.5144309,7.3333526,6.9297476,-38.389732,16.495615,14.706077,-10.778666,3.1191788,20.481802,14.039429,7.6672306,-16.150522,4.7690578,-42.57755,-29.21132,39.38789,4.489964,-25.790854,-15.225251,-2.7290864,16.64308,-31.275835,10.848201,3.779444,5.328408,9.405974,4.8146753,36.8113,-10.271435,6.082135,-2.8855278,-15.365877,10.500636,-1.594175,2.033845,2.611957,24.930637,11.233311,-12.953626,-18.885057,84.273094,-35.769127,25.304192,1.0143026,22.214891,7.44902,17.873278,-42.267464,-13.918764,-3.5602126,9.854256,1.9110651,-6.65291,-52.977867,-11.217815,27.814613,-9.677109,48.643833,-3.9372349,-4.4687967,13.09467,37.380444,3.508804,31.108051,-6.1986685,-14.3532715,-26.215557,16.649933,1.639539,2.0050433,-26.770962,2.149796,-25.811764,15.768755,4.9072404,1.3006016,1.0648916,-7.558194,25.63785,-7.328828,51.355713,16.300228,-17.944702,6.7490253,2.8541062,1.0107611,7.4371376,9.380727,-18.904938,-1.5104636,8.729971,0.9820793,4.4422455,-13.768951,32.45385,-10.450377,9.642308,-2.7412183,8.944216,0.79780525,-13.291597,13.503381,-12.286832,2.9629385,-8.90539,10.5062065,-4.1956587,0.7956628,-2.2435858,2.807257
